['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ได้นำระเบิดแสวงเครื่องหนัก 5 ก.ก.จุดชนวนด้วยรีโมตคอนโทรลไปวางไว้ที่ริมถนนสายบาเจาะ-บ้านทอนช่วงบริเวณบ้านดูกู ม.3 ต.บลาเจาะ ||| และได้จุดชนวนระเบิด
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ระเบิดได้ทำงานขึ้น ||| แต่ไม่มีผู้ใดได้รับบาดเจ็บ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| คนร้ายนำระเบิดแสวงเครื่องประกอบใส่ไว้ในรถ จยย. นำไปที่จอดไว้หน้าธนาคารกสิกรไทยสาขา อ.เมืองนราธิวาส ถ.ภูผาภักดี ||| และเกิดระเบิดขึ้น
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ไม่มีผู้ใดได้รับบาดเจ็บ ||| เนื่องจากระเบิดทำงานไม่ครบวงจร
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ได้ประกอบระเบิดแสวงเครื่องไว้ในรถ จยย. ||| แล้วนำไปจอดไว้ที่ถนนหน้าธนาคารกรุงไทยสาขา ต.ตันหยงมัส ใกล้กับตลาดสดเขตเทศบาลตำบลตันหยงมัส อ.ระแงะ
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| คนร้ายได้จุดชนวนระเบิดในระหว่างที่ธนาคารกำลังเปิดให้บริการแก่ประชาชน ||| แต่ระเบิดทำงานไม่ครบวงจรทำให้มีชาวบ้านได้รับบาดเจ็บสาหัส 1 รายและบาดเจ็บเล็กน้อยอีก 7 ราย
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ได้รับบาดเจ็บสาหัส 1 ราย ||| และบาดเจ็บเล็กน้อยอีก 7 ราย
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| คนร้ายได้แฝงตัวนำระเบิดแสวงเครื่องหนัก 2 ก.ก.จุดชนวนด้วยการตั้งปลุกจากนาฬิกาข้อมือแบบดิจิตอล ||| และได้เกิดระเบิดขึ้น
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ได้เกิดระเบิดขึ้น ||| แต่ไม่มีใครได้รับบาดเจ็บ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| จุดแรกเกิดขึ้นที่บริเวณป้อมยามเข้าออกของบริษัท อีซูซุ สาขา อ.สุไหงโก-ลกตั้งอยู่ริมถนนสายตากใบ-สุไหงโก-ลกช่วงบริเวณบ้านน้ำตก ต.ปาเสมัส ||| และจุดที่ 2 เกิดขึ้นที่บริเวณริมรั้วของสนง.สรรพาสามิต อ.สุไหงโก-ลกตั้งอยู่ริมถนนสายเอเชีย 18 ต.สุไหงโก-ลก อ.สุไหงโกลก
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| คนร้ายได้นำระเบิดชนิดเดียวกันไปวางไว้ ||| และได้ระเบิดขึ้น
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เสียชีวิต ||| และได้รับบาดเจ็บ
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| หลังรับรายงาน ||| จึงได้แจ้งให้ พ.ต.อ.นราศักดิ์ เชียงสุขรอง ผบ.กงภ.จว.ยะลาให้รับทราบ
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| หลังรับรายงาน ||| จึงได้แจ้งให้ พ.ต.อ.นราศักดิ์ เชียงสุขรอง ผบ.กงภ.จว.ยะลาให้รับทราบ
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ได้แจ้งให้ พ.ต.อ.นราศักดิ์ เชียงสุขรอง ผบ.กงภ.จว.ยะลาให้รับทราบ ||| จากนั้น<*>เดินทางไปตรวจสอบพร้อมด้วย พ.ต.อ.วิศิษฐ์ อักษรแก้วผกก.สภ.อ.รามันและกำลังเจ้าหน้าที่ตำรวจและทหาร
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| รับรายงาน ||| จึงเดินทางไปตรวจสอบพร้อมด้วย พ.ต.อ.วิศิษฐ์ อักษรแก้วผกก.สภ.อ.รามันและกำลังเจ้าหน้าที่ตำรวจและทหาร
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เมื่อไปถึงที่เกิดเหตุซึ่งอยู่ริมทางรถไฟใกล้กับสถานีรถไฟบ้านบาลอ ||| พบรถจักรยานยนต์ล้มคว่ำอยู่จำนวน 2 คัน
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ที่ริมถนนพบศพทหาร ||| นอกจากนั้นยังมีเจ้าหน้าที่ทหารได้รับบาดเจ็บเล็กน้อยอีกจำนวน 2 นาย
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ระเบิดชนิดแสวงเครื่องบรรจุในกล่องเหล็กชนิดทำเองน้ำหนักประมาณ 5 กก. วางอยู่ริมถนนมีสายไฟลากยาวเข้าไปในป่ายาง ||| ระเบิดชนิดแสวงเครื่องบรรจุในกล่องเหล็กชนิดทำเองน้ำหนักประมาณ 5 กก. วางอยู่ริมถนนมีสายไฟลากยาวเข้าไปในป่ายางเจ้าหน้าที่จึงทำการเก็บกู้ไว้ได้
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เมื่อมาถึงที่เกิดเหตุ ||| ได้มีคนร้ายคาดว่าไม่ต่ำกว่า 7 คนดักซุ่มอยู่ข้างทาง
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ได้มีคนร้ายคาดว่าไม่ต่ำกว่า 7 คนดักซุ่มอยู่ข้างทาง ||| และได้กดระเบิดที่วางเอาไว้
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ได้กดระเบิดที่วางเอาไว้ ||| แต่ระเบิดไม่ทำงาน
