['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| la intranet è cambiata ||| ci sono diverse diciamo modifiche in il nelle interfacce
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| qua ci ci sono di i problemi ||| in il senso che <*> in il senso che sono finito in un ufficio d' appoggio e adesso il mio computer e ho avuto problemi già a recuperar lo e far lo risistemare però ho problemi ha collegar lo e gli sto usando il PC di un collega
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| dopo <*> sono finito in un ufficio d' appoggio ||| essere rientrato da questa <*> aspettativa
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| siccome qua siamo ci siamo riorganizzando ||| sono finito in un ufficio d' appoggio
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| sono finito in un ufficio d' appoggio ||| e adesso il mio computer e ho avuto problemi già a recuperar lo e far lo risistemare
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ho avuto problemi già a recuperar lo e far lo risistemare ||| però ho problemi ha collegar lo
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ho problemi ha collegar lo e ||| gli sto usando il PC di un collega
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| insomma utilizzi quella di un collega ||| non è un problema
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| insomma utilizzi quella di un collega ||| mi dia soltanto l' RWS dellaì sua sì
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| mi dia soltanto l' RWS dellaì sua sì ||| tanto per l' intervento non ci interessa particolarmente
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| tanto per l' intervento non ci interessa particolarmente <*> tanto per l' intervento non ci interessa particolarmente il numero di la macchina ||| però devo compilar lo per la richiesta
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non ciò una borchia <*> non ciò una borchia poter attaccare il computer ||| sto usando quella di i colleghi
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| anche questo non è attivo ||| le lascio un cellulare
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| anche questo non è attivo quindi ||| possiamo contattar la a il
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| anche questo non è attivo ||| sto aspettando che me l' attivino
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| io le lascio il numero di richiesta ||| giro la chiamata a i colleghi di le abilitazioni
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| giro la chiamata a i colleghi di le abilitazioni ||| loro invieranno il codice PIN a il suo referente
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| loro invieranno il codice PIN a il suo referente ||| e lui a sua volta le le consegnerà il il nuovo on il nuovo insomma il codice PIN per poter <*> e lui a sua volta le le consegnerà il il nuovo on il nuovo insomma il codice PIN per poter fare accesso a le procedure
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| la chiamata è la numero <DIGIT> <DIGIT> <DIGIT> <DIGIT> ||| aspetti è che me lo segno
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| perfetto allora loro manderanno il codice PIN a lui ||| a sua volta glie lo consegnerà con la busta chiusa e sigillata con il nuovo codice <*> a sua volta glie lo consegnerà con la busta chiusa e sigillata con il nuovo codice a sua volta
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| non è più in possesso di il codice <*> non è più in possesso di il codice PIN vero ||| e dato questo necessita per poter vedere le timbrature
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| la lettera è a casa sicuramente in un archivio non a ben organizzato ||| ma a casa c' è
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| a casa c' è ||| ma dato che mi mi necessita è per quello che telefono
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| dato che mi mi necessita ||| è per quello che telefono
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ma dato che mi mi necessita è per quello che telefono ||| ma deve entrare subito
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| non devo entrare subito ||| devo entrare <*> devo entrare però per poter vedere le timbrature quanto prima <*> devo entrare però per poter vedere le timbrature quanto prima per poter vedere le timbrature quanto prima
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| invio il PUC allora ||| io signora la giro subito a il gruppo che si occupa <*> io signora la giro subito a il gruppo che si occupa di l' abilitazione
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| dicevamo per la remedy ||| hai bisogno di modificare <*> hai bisogno di modificare una remedy che hai aperto
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| quella che mi è stata segnalata che non è corretta la rifaccio ||| perchè <*> mi han detto che devo fare nuova richiesta
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| duplicare un numero e richiedere un nuovo apparecchio ||| invece <*> devo fare nuova richiesta
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| mi han detto che devo fare nuova richiesta <*> quindi ||| questa la la riscrivo
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| allora il numero non dovrebbe essere il <NUM> <NUM> ma <PER> <NUM> <NUM> <DIGIT> <DIGIT> ma <NUM> <DIGIT> <DIGIT> ||| è il <NUM> <DIGIT> <DIGIT> quello da spostare
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| sì sì ||| tra l' altro è solo un numero da modificare <NUM>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| è solo un numero da modificare <NUM> ||| anche perchè vedo che non è ancora stato preso in carico
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| tutti <*> invariato tranne quel numero lì ||| anche l' apparecchio deve venire in il mio ufficio okay
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| dovrebbe andar bene ||| aspetti che verifichiamo
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ce l' ha allora ||| mi dia quello di il settore informatico
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| ho quella di il settore informatico <*> allora ||| ce l' ha
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| adesso ho tolto tutti i fogli ||| però mi dà comunque errore <NUM>
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| mi dà comunque errore <NUM> ||| e non riesco proprio più a lavorare
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| mi dà comunque errore <NUM> ||| allora su il display glie lo segnala <*> allora su il display glie lo segnala questo errore
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| è rimasta in rosso ||| non non va proprio più
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| non non va proprio più ||| ogni tanto dà anche errore <CHAR> <NUM>
